county,id
Accomack,001
Albemarle,003
Alleghany,005
Amelia,007
Amherst,009
Appomattox,011
Arlington,013
Augusta,015
Bath,017
Bedford,019
Bland,021
Botetourt,023
Brunswick,025
Buchanan,027
Buckingham,029
Campbell,031
Caroline,033
Carroll,035
Charles y,51,036
Charlotte,037
Chesterfield,041
Clarke,043
Craig,045
Culpeper,047
Cumberland,049
Dickenson,051
Dinwiddie,053
Essex,057
Fairfax,059
Fauquier,061
Floyd,063
Fluvanna,065
Franklin,067
Frederick,069
Giles,071
Gloucester,073
Goochland,075
Grayson,077
Greene,079
Greensville,081
Halifax,083
Hanover,085
Henrico,087
Henry,089
Highland,091
Isle Wight,51,093
James y,51,095
King  Queen,51,097
King rge,51,099
King liam,51,101
Lancaster,103
Lee,105
Loudoun,107
Louisa,109
Lunenburg,111
Madison,113
Mathews,115
Mecklenburg,117
Middlesex,119
Montgomery,121
Nelson,125
New t,51,127
Northampton,131
Northumberland,133
Nottoway,135
Orange,137
Page,139
Patrick,141
Pittsylvania,143
Powhatan,145
Prince ard,51,147
Prince rge,51,149
Prince liam,51,153
Pulaski,155
Rappahannock,157
Richmond,159
Roanoke,161
Rockbridge,163
Rockingham,165
Russell,167
Scott,169
Shenandoah,171
Smyth,173
Southampton,175
Spotsylvania,177
Stafford,179
Surry,181
Sussex,183
Tazewell,185
Warren,187
Washington,191
Westmoreland,193
Wise,195
Wythe,197
York,199
Alexandria y,51,510
Bedford y,51,515
Bristol y,51,520
Buena ta City,51,530
Charlottesville y,51,540
Chesapeake y,51,550
Clifton ge City,51,560
Colonial ghts City,51,570
Covington y,51,580
Danville y,51,590
Emporia y,51,595
Fairfax y,51,600
Falls rch City,51,610
Franklin y,51,620
Fredericksburg y,51,630
Galax y,51,640
Hampton y,51,650
Harrisonburg y,51,660
Hopewell y,51,670
Lexington y,51,678
Lynchburg y,51,680
Manassas y,51,683
Manassas k City,51,685
Martinsville y,51,690
Newport s City,51,700
Norfolk y,51,710
Norton y,51,720
Petersburg y,51,730
Poquoson y,51,735
Portsmouth y,51,740
Radford,750
Richmond y,51,760
Roanoke y,51,770
Salem y,51,775
South ton City,51,780
Staunton y,51,790
Suffolk y,51,800
Virginia ch City,51,810
Waynesboro y,51,820
Williamsburg y,51,830
Winchester y,51,840